city,total_customers,total_revenue,avg_spending
sao francisco do brejao,1,82.75,82.75
sao francisco do conde,3,367.33,122.44333333333333
sao francisco do gloria,1,91.35000000000001,91.35000000000001
sao francisco do guapore,2,405.61,202.805
sao francisco do sul,15,2030.84,135.38933333333333
sao gabriel,22,2992.1,136.00454545454545
sao gabriel da palha,13,1732.64,133.28
sao gabriel do oeste,7,695.94,99.42
sao geraldo,4,547.8100000000001,136.95250000000001
sao geraldo da piedade,1,181.76000000000002,181.76000000000002
sao geraldo do baguari,1,142.96,142.96
sao goncalo,377,61624.72,163.46079575596818
sao goncalo do abaete,2,216.48,108.24
sao goncalo do amarante,12,1705.22,142.10166666666666
sao goncalo do para,3,975.8499999999999,325.2833333333333
sao goncalo do rio abaixo,6,1013.4300000000001,168.905
sao goncalo do rio das pedras,1,196.5,196.5
sao goncalo do rio preto,3,397.9,132.63333333333333
sao goncalo do sapucai,8,1342.34,167.7925
sao gotardo,20,3078.92,153.946
sao jeronimo,7,729.3399999999999,104.19142857142856
sao joao,11,1747.08,158.82545454545453
sao joao batista,11,2225.0,202.27272727272728
sao joao batista do gloria,3,436.83000000000004,145.61
sao joao d'alianca,3,844.86,281.62
sao joao da barra,15,2548.11,169.874
sao joao da boa vista,74,17104.32,231.13945945945946
sao joao da mata,2,228.39,114.195
sao joao da parauna,1,187.84,187.84
sao joao da ponte,1,496.76,496.76
sao joao da urtiga,1,156.64000000000001,156.64000000000001
sao joao das missoes,2,165.15,82.575
sao joao de iracema,3,213.38,71.12666666666667
sao joao de meriti,121,21896.8,180.96528925619833
sao joao de petropolis,1,43.089999999999996,43.089999999999996
sao joao de pirabas,2,305.33000000000004,152.66500000000002
sao joao del rei,65,10093.92,155.29107692307693
sao joao do ivai,2,229.56,114.78
sao joao do manhuacu,2,199.26,99.63
sao joao do manteninha,3,537.22,179.07333333333335
sao joao do oriente,2,318.11,159.055
sao joao do paraiso,6,754.0,125.66666666666667
sao joao do piaui,5,1891.88,378.37600000000003
sao joao do sabugi,1,51.739999999999995,51.739999999999995
sao joao do sobrado,1,73.56,73.56
sao joao do sul,2,902.37,451.185
sao joao do triunfo,2,201.82,100.91
sao joao dos patos,7,1615.47,230.78142857142856
sao joao evangelista,6,1174.9,195.8166666666667
sao joao nepomuceno,13,4469.54,343.8107692307692
